image_id,angle_deg,value,unit,blur,brightness,occlusion,noise_level
train_0000,17.385,34.346,bar,0,0.7,0.5,0
train_0001,-44.525,50.317,psi,2.0,1.0,0,0
train_0002,-4.062,48.307,psi,1.0,1.0,0,0
train_0003,-61.214,48.988,kPa,0,0.7,0,0
train_0004,98.956,145.971,psi,1.5,0.5,0.3,1.0
train_0005,-33.959,35.85,psi,0,0.7,0.3,2.0
train_0006,82.472,50.618,bar,2.0,0.7,0.5,0
train_0007,36.535,104.357,psi,2.0,1.0,0.5,0.5
train_0008,-105.229,12.309,kPa,0,1.0,0,0
train_0009,101.342,55.335,bar,2.0,0.85,0.5,1.0
train_0010,20.936,117.447,kPa,0,0.7,0.5,1.0
train_0011,-13.883,88.431,kPa,0,1.0,0.5,0
train_0012,-37.099,20.725,bar,0.5,1.0,0.3,0.5
train_0013,11.129,32.782,bar,0.5,1.0,0,0.5
train_0014,-102.795,11.47,psi,0.5,0.5,0.5,0
train_0015,74.84,81.183,psi,2.0,1.0,0,2.0
train_0016,-3.174,97.355,kPa,0,0.5,0.3,0
train_0017,-77.345,28.437,psi,1.0,0.5,0.15,1.0
train_0018,-110.799,3.834,psi,2.0,0.85,0.3,0
train_0019,-50.337,58.052,kPa,0,0.5,0,0
train_0020,-14.107,44.122,psi,2.0,0.7,0.5,0
train_0021,-99.98,16.683,kPa,1.5,0.85,0,0
train_0022,100.895,92.04,psi,0.5,0.5,0.3,0
train_0023,-27.298,61.801,psi,2.0,0.5,0.15,0.5
train_0024,-85.227,8.693,bar,2.0,1.0,0,0
train_0025,-75.081,18.716,psi,0,0.7,0.5,1.0
train_0026,73.053,80.439,psi,0.5,1.0,0.5,0
train_0027,92.53,88.554,psi,1.0,0.85,0.3,0
train_0028,-63.874,46.772,kPa,2.0,0.7,0,0
train_0029,37.389,104.926,psi,0,0.7,0,0.5
train_0030,-24.49,79.592,kPa,0,0.5,0.15,0
train_0031,114.696,195.58,kPa,0,0.5,0.15,0
train_0032,-83.047,30.794,kPa,0,0.5,0,0.5
train_0033,-19.544,66.971,psi,0.5,1.0,0.3,1.0
train_0034,93.69,142.46,psi,2.0,1.0,0,0
train_0035,71.055,159.212,kPa,0.5,0.85,0,0
train_0036,-111.168,7.36,kPa,2.0,1.0,0,1.0
train_0037,83.495,84.79,psi,1.5,0.85,0.3,0
train_0038,-28.578,22.856,bar,1.5,1.0,0,1.0
train_0039,-82.606,31.161,kPa,2.0,0.5,0.15,0
train_0040,56.934,73.722,psi,0,0.85,0,0
train_0041,-73.24,31.173,psi,2.0,0.85,0.15,0.5
train_0042,2.355,30.589,bar,0.5,1.0,0.5,0
train_0043,84.67,51.167,bar,1.5,1.0,0.15,0
train_0044,26.733,61.139,psi,2.0,1.0,0,2.0
train_0045,112.606,193.838,kPa,0,1.0,0,0.5
train_0046,-115.155,1.211,bar,0,0.7,0.5,2.0
train_0047,-59.108,50.743,kPa,0,0.5,0.5,0.5
train_0048,-52.197,56.503,kPa,0,1.0,0,0
train_0049,-81.31,32.242,kPa,0,1.0,0,1.0
train_0050,111.555,57.889,bar,0,0.85,0.15,2.0
train_0051,39.833,133.194,kPa,0,1.0,0,1.0
train_0052,-90.856,24.287,kPa,0,1.0,0,1.0
train_0053,59.334,149.445,kPa,0,1.0,0.3,1.0
train_0054,-79.935,16.694,psi,0,0.7,0,0
train_0055,101.372,55.343,bar,0,1.0,0,2.0
train_0056,35.003,129.169,kPa,1.0,1.0,0,1.0
train_0057,78.451,82.688,psi,0,0.7,0,2.0
train_0058,7.228,84.819,psi,0,0.5,0,1.0
train_0059,86.642,86.101,psi,2.0,0.85,0.15,1.0
train_0060,14.423,33.606,bar,0,0.5,0.5,0
train_0061,5.509,31.377,bar,2.0,1.0,0,1.0
train_0062,-77.552,10.612,bar,0.5,0.85,0.15,0
train_0063,-85.463,14.391,psi,0.5,1.0,0.5,0
train_0064,-111.946,2.014,bar,0,1.0,0.15,0
train_0065,-4.852,28.787,bar,0.5,1.0,0.3,2.0
train_0066,-55.071,27.054,psi,1.0,1.0,0,0
train_0067,3.394,82.262,psi,1.0,1.0,0,0
train_0068,66.485,155.405,kPa,0,1.0,0,0.5
train_0069,48.242,140.202,kPa,2.0,0.85,0.3,2.0
train_0070,50.172,141.81,kPa,2.0,1.0,0.5,2.0
train_0071,72.398,128.265,psi,2.0,1.0,0,0
train_0072,-37.977,20.506,bar,0.5,1.0,0,0
train_0073,-68.793,21.336,psi,1.5,1.0,0,2.0
train_0074,-14.246,44.064,psi,2.0,1.0,0,0
train_0075,-117.383,2.18,kPa,0,1.0,0.15,2.0
train_0076,-24.56,63.627,psi,0.5,0.7,0,0
train_0077,113.565,155.71,psi,1.0,0.5,0,0
train_0078,116.92,59.23,bar,0,0.5,0.15,0
train_0079,-55.354,16.161,bar,0.5,0.7,0,0.5
train_0080,-45.434,18.642,bar,0,1.0,0.3,0.5
train_0081,105.082,56.271,bar,0.5,0.7,0,0.5
train_0082,44.311,109.541,psi,0,1.0,0,1.0
train_0083,69.079,78.783,psi,2.0,1.0,0,0.5
train_0084,78.281,49.57,bar,0,0.85,0,0
train_0085,-11.015,90.821,kPa,1.0,0.7,0,0.5
train_0086,-55.45,26.896,psi,0,0.7,0,2.0
train_0087,8.86,107.384,kPa,2.0,0.5,0,0
train_0088,-16.016,69.323,psi,1.5,1.0,0,2.0
train_0089,118.641,159.094,psi,1.5,0.5,0,1.0
train_0090,80.636,167.197,kPa,1.0,1.0,0.5,1.0
train_0091,98.955,91.231,psi,2.0,1.0,0.5,0.5
train_0092,93.866,142.577,psi,0,0.7,0,0
train_0093,56.492,73.538,psi,0,1.0,0.5,0
train_0094,-84.017,14.993,psi,1.0,1.0,0,1.0
train_0095,78.334,49.583,bar,0,1.0,0.3,2.0
train_0096,82.889,84.537,psi,1.5,1.0,0,0
train_0097,-30.613,22.347,bar,1.0,0.85,0,0.5
train_0098,-30.356,74.703,kPa,1.5,1.0,0,2.0
train_0099,-109.522,4.366,psi,2.0,0.7,0,0
train_0100,15.585,112.988,kPa,0,0.5,0.3,0
train_0101,116.433,98.514,psi,0,0.7,0.5,0.5
train_0102,-79.447,33.794,kPa,1.0,0.5,0.15,0.5
train_0103,54.876,116.584,psi,0.5,0.85,0,0.5
train_0104,-41.143,52.571,psi,0,1.0,0.15,0
train_0105,-79.878,26.748,psi,1.0,0.85,0,0
train_0106,-73.146,19.523,psi,0,0.7,0,1.0
train_0107,72.836,80.348,psi,0,0.7,0.3,1.0
train_0108,-100.838,15.968,kPa,1.0,1.0,0,0
train_0109,-11.811,72.126,psi,0,0.5,0.5,0
train_0110,-75.969,29.354,psi,0.5,1.0,0.5,1.0
